Word,Parts of speech,Suffix
উপক্রন্তা,বিশেষণ,্রন্তা
উপক্রোশ,বিশেষ্য,্রোশ
উপক্ষার,বিশেষ্য,্ষার
উপগিরি,বিশেষ্য,িরি
উপগুরু,বিশেষ্য,ুরু
উপচক্ষু,বিশেষ্য,ক্ষু
উপচর্ষা,বিশেষ্য,র্ষা
উপচীয়মান,বিশেষণ,ীয়মান
উপচ্ছদ,বিশেষ্য,্ছদ
উপজনন,বিশেষ্য,নন
উপজা,ক্রিয়া,া
উপজীবিকা,বিশেষ্য,ীবিকা
উপঢৌকন,বিশেষ্য,ৌকন
উপতারা,বিশেষ্য,ারা
উপত্যকা,বিশেষ্য,্যকা
উপদর্শক,বিশেষ্য,র্শক
উপদিশ্যমান,বিশেষণ,িশ্যমান
উপদিষ্ট,বিশেষণ,িষ্ট
উপদ্বীপ,বিশেষ্য,্বীপ
উপদ্রব,বিশেষ্য,্রব
উপদ্রূত,বিশেষণ,্রূত
উপধর্ম,বিশেষ্য,র্ম
উপধা,বিশেষ্য,া
উপধাতু,বিশেষ্য,াতু
উপনক্ষত্র,বিশেষ্য,ক্ষত্র
উপনগর,বিশেষ্য,গর
উপনাম,বিশেষ্য,াম
উপনিবেশ,বিশেষ্য,িবেশ
উপনিহিত,বিশেষণ,িহিত
উপনীত,বিশেষণ,ীত
উপনেতা,বিশেষণ,েতা
উপনেত্র,বিশেষ্য,েত্র
উপন্যস্ত,বিশেষণ,্যস্ত
উপন্যাস,বিশেষ্য,্যাস
উপপতি,বিশেষ্য,তি
উপপত্তি,বিশেষ্য,ত্তি
উপপত্নী,বিশেষ্য,ত্নী
উপপথ,বিশেষ্য,থ
উপপদ,বিশেষ্য,দ
উপপন্ন,বিশেষণ,ন্ন
উপপাতক,বিশেষ্য,াতক
উপপাদন,বিশেষ্য,াদন
উপপাপ,বিশেষ্য,াপ
উপপুরাণ,বিশেষ্য,ুরাণ
উপপ্লব,বিশেষ্য,্লব
উপবস্তু,অব্যয়,স্তু
উপবাস,বিশেষ্য,াস
উপবিষ,বিশেষ্য,িষ
উপবিষ্ট,বিশেষণ,িষ্ট
উপবীত,বিশেষ্য,ীত
উপবৃক্ষ,বিশেষ্য,ৃক্ষ
উপবেদ,বিশেষ্য,েদ
উপভোগ,বিশেষ্য,োগ
উপমন্ত্রী,বিশেষ্য,ন্ত্রী
উপমাংস,বিশেষ্য,াংস
উপযাচক,বিশেষণ,াচক
উপযুক্ত,বিশেষণ,ুক্ত
উপযোগী,বিশেষণ,োগী
উপযোজন,বিশেষ্য,োজন
উপরত্ন,বিশেষ্য,ত্ন
উপরম,বিশেষ্য,ম
উপরাজ,বিশেষ্য,াজ
উপর্যুক্ত,বিশেষণ,্যুক্ত
উপর্যুপরি,অব্যয়,্যুপরি
উপলক্ষণ,বিশেষ্য,ক্ষণ
উপলক্ষিত,বিশেষণ,ক্ষিত
উপলব্ধ,বিশেষণ,ব্ধ
উপলভ্য,বিশেষণ,ভ্য
উপলম্ভ,বিশেষ্য,ম্ভ
উপশম,বিশেষ্য,ম
উপশাখা,বিশেষ্য,াখা
উপশিরা,বিশেষ্য,িরা
উপসংহার,বিশেষ্য,ংহার
উপসমিতি,বিশেষ্য,মিতি
উপসাগর,বিশেষ্য,াগর
উপসুন্দ,বিশেষ্য,ুন্দ
উপসেক,বিশেষ্য,েক
উপসেচন,বিশেষ্য,েচন
উপসেবন,বিশেষ্য,েবন
উপস্ত্রী,বিশেষ্য,্ত্রী
উপস্বত্ব,বিশেষ্য,্বত্ব
উপস্হিত,বিশেষণ,্হিত
উপহসিত,বিশেষণ,সিত
উপহ্রদ,বিশেষ্য,্রদ
উপাংশু,বিশেষণ,ংশু
উপাকরণ,বিশেষ্য,করণ
উপাখ্যান,বিশেষ্য,খ্যান
উপাগত,বিশেষণ,গত
উপাগম,বিশেষ্য,গম
উপাচার্য,বিশেষ্য,চার্য
উপাত্যয়,বিশেষ্য,ত্যয়
উপাদেয়,বিশেষণ,দেয়
উপাধান,বিশেষ্য,ধান
উপাধি,বিশেষ্য,ধি
উপাধ্যায়,বিশেষ্য,ধ্যায়
উপাবর্তন,বিশেষ্য,বর্তন
উপারম্ভ,বিশেষ্য,রম্ভ
উপার্জন,বিশেষ্য,র্জন
উপার্থন,বিশেষ্য,র্থন
উপালম্ভ,বিশেষ্য,লম্ভ
উপাস্হি,বিশেষ্য,স্হি
উপাহার,বিশেষ্য,হার
উপাহৃত,বিশেষণ,হৃত
উপেত,বিশেষণ,ত
উপেন্দ্র,বিশেষ্য,ন্দ্র
উপোদ্ঘাত,বিশেষ্য,দ্ঘাত
উপোষণ,বিশেষ্য,ষণ
উলসা,ক্রিয়া,া
উলুখাগড়া,বিশেষ্য,খাগড়া
উলূক,বিশেষ্য,ক
উলেমা,বিশেষ্য,মা
উল্বণ,বিশেষণ,বণ
উল্মুক,বিশেষ্য,মুক
উল্লঙ্ঘন,বিশেষ্য,লঙ্ঘন
উল্লম্ব,বিশেষণ,লম্ব
উল্লাস,বিশেষ্য,লাস
উল্লিখিত,বিশেষণ,লিখিত
উল্লুক,বিশেষ্য,লুক
উল্লেখ,বিশেষ্য,লেখ
উল্লোল,বিশেষ্য,লোল
উষ্ণীষ,বিশেষ্য,ষ
উসকোখুসকো,বিশেষণ,ুসকো
ঋত্বিক,বিশেষ্য,বিক
এঁটেল,বিশেষণ,েল
এঁড়ে,বিশেষ্য,়ে
একজিবিশন,বিশেষ্য,িবিশন
একরার,বিশেষ্য,ার
একহারা,বিশেষণ,ারা
একাকার,বিশেষণ,কার
একাকী,বিশেষণ,কী
একাক্ষর,বিশেষণ,ক্ষর
একাগ্র,বিশেষণ,গ্র
একাঘ্নী,বিশেষ্য,ঘ্নী
একাত্মবাদী,বিশেষণ,ত্মবাদী
একাদশ,বিশেষ্য,দশ
একাদশী,বিশেষণ,দশী
একাধার,বিশেষ্য,ধার
একাধিক,বিশেষণ,ধিক
একাধিপতি,বিশেষ্য,ধিপতি
একাবলি,বিশেষ্য,বলি
একাশীতি,বিশেষ্য,শীতি
একিদা,বিশেষ্য,দা
একীভবন,বিশেষ্য,ভবন
একুন,বিশেষ্য,ন
একুলওকুল,বিশেষ্য,লওকুল
একূলওকূল,বিশেষ্য,লওকূল
একেলে,বিশেষণ,লে
একেশ্বর,বিশেষ্য,শ্বর
একৈক,বিশেষণ,ক
একোদর,বিশেষ্য,দর
একোদ্দিষ্ট,বিশেষ্য,দ্দিষ্ট
একোন,বিশেষণ,ন
এক্কাদোক্কা,বিশেষ্য,কাদোক্কা
এক্সচেঞ্জ,বিশেষ্য,সচেঞ্জ
এক্সপ্রেস,বিশেষণ,সপ্রেস
এগারো,বিশেষ্য,রো
এতহুঁ,বিশেষণ,ুঁ
এতাবত্,বিশেষণ,বত্
এনট্রানস্,বিশেষ্য,রানস্
এবড়োখেবড়ো,বিশেষণ,খেবড়ো
এরণ্ড,বিশেষ্য,ড
এলেবেলে,বিশেষ্য,ে
এসপারওসপার,অব্যয়,রওসপার
এসেন্স,বিশেষ্য,্স
ঐকবাক্য,বিশেষ্য,ক্য
ঐকরাজ্য,বিশেষ্য,জ্য
ঐক্যপদ্য,বিশেষ্য,দ্য
ঐতিহাসিক,বিশেষণ,িক
ঐন্দ্রজালিক,বিশেষণ,ালিক
ঐন্দ্রিয়ক,বিশেষণ,য়ক
ঐহলৌকিক,বিশেষণ,কিক
ওঁচলা,বিশেষ্য,লা
ওকালতনামা,বিশেষ্য,নামা
ওগয়রহ,অব্যয়,রহ
ওড়নপাড়ন,বিশেষ্য,়ন
ওতপ্রোত,বিশেষণ,্রোত
ওভারব্রিজ,বিশেষ্য,ব্রিজ
ওরফে,অব্যয়,ে
ওরাংওটাং,বিশেষ্য,ংওটাং
ওলকপি,বিশেষ্য,পি
ওলন্দাজ,বিশেষ্য,্দাজ
ওলাইচণ্ডী,বিশেষ্য,ইচণ্ডী
ওলাবিবি,বিশেষ্য,বিবি
ঔত্সর্গিক,বিশেষণ,গিক
ঔদাসীন্য,বিশেষ্য,ন্য
ঔপচারিক,বিশেষণ,রিক
ঔপদেশিক,বিশেষণ,শিক
ঔপাধিক,বিশেষণ,িক
ঔর্বাগ্নি,বিশেষ্য,গ্নি
কংগ্রেস,বিশেষ্য,রেস
কঙ্গুরা,বিশেষ্য,রা
কচাত্,অব্যয়,ত্
কচুরি,বিশেষ্য,রি
কচুরিপানা,বিশেষ্য,রিপানা
কচ্ছ,বিশেষ্য,ছ
কচ্ছপ,বিশেষ্য,ছপ
কঞ্জুস,বিশেষণ,স
কটকবালা,বিশেষ্য,বালা
কটমট,বিশেষণ,ট
কটরমটর,অব্যয়,মটর
কটাক্ষ,বিশেষ্য,ক্ষ
কট্টর,বিশেষণ,টর
কড়কচ,বিশেষ্য,চ
কণ্টিকারি,বিশেষ্য,রি
কতিপয়,বিশেষণ,পয়
কথাসরিত্সাগর,বিশেষ্য,রিত্সাগর
কথোপকথন,বিশেষ্য,থন
কদুক্তি,বিশেষ্য,্তি
কনট্রোল,বিশেষ্য,রোল
কনডাকটর,বিশেষ্য,র
কন্দর্প,বিশেষ্য,্প
কপর্দী,বিশেষ্য,্দী
কপালী,বিশেষ্য,লী
কপিঞ্জল,বিশেষ্য,ঞ্জল
কপিত্থ,বিশেষ্য,ত্থ
কপিশ,বিশেষ্য,শ
কপোত,বিশেষ্য,ত
কপোতাক্ষ,বিশেষ্য,তাক্ষ
কবন্ধ,বিশেষ্য,্ধ
কবরী,বিশেষ্য,ী
কবিতা,বিশেষ্য,তা
কবিত্ব,বিশেষ্য,ত্ব
কবিরপন্হী,বিশেষণ,রপন্হী
কবিরাজ,বিশেষ্য,রাজ
কবুতর,বিশেষ্য,তর
কবোষ্ণ,বিশেষণ,ষ্ণ
কমণ্ডলু,বিশেষ্য,্ডলু
কমরেড,বিশেষ্য,েড
কমলাকর,বিশেষ্য,াকর
কমলাগুঁড়ি,বিশেষ্য,াগুঁড়ি
কমলিনী,বিশেষ্য,িনী
কমলেকামিনী,বিশেষ্য,েকামিনী
কমিউনিজম,বিশেষ্য,উনিজম
কমিটি,বিশেষ্য,টি
কমিশন,বিশেষ্য,শন
কমিশনার,বিশেষ্য,শনার
কম্পাউণ্ডার,বিশেষ্য,পাউণ্ডার
কম্পান্বিত,বিশেষণ,পান্বিত
কম্পাস,বিশেষ্য,পাস
কম্পোজ,বিশেষ্য,পোজ
কম্প্র,বিশেষণ,প্র
কম্ফর্টার,বিশেষ্য,ফর্টার
কম্বল,বিশেষ্য,বল
কম্বু,বিশেষ্য,বু
করকচি,বিশেষণ,চি
করকর,অব্যয়,র
করঞ্জা,বিশেষ্য,্জা
করণিক,বিশেষ্য,িক
করতাল,বিশেষ্য,াল
করতালি,বিশেষ্য,ালি
করপত্র,বিশেষ্য,ত্র
করমচা,বিশেষ্য,চা
করর্মদ,বিশেষ্য,্মদ
করাঘাত,বিশেষ্য,ঘাত
করায়ত্ত,বিশেষণ,য়ত্ত
করিতকর্মা,বিশেষণ,তকর্মা
করিষ্যমাণ,বিশেষণ,ষ্যমাণ
করুণা,বিশেষ্য,ণা
করেণু,বিশেষ্য,ণু
করোগেট,বিশেষ্য,গেট
কর্কশ,বিশেষণ,কশ
কর্জ,বিশেষ্য,জ
কর্ণাট,বিশেষ্য,ণাট
কর্ণান্তর,বিশেষ্য,ণান্তর
কর্ণিকা,বিশেষ্য,ণিকা
কর্ণিকার,বিশেষ্য,ণিকার
কর্ণেজপ,বিশেষ্য,ণেজপ
কর্তিত,বিশেষণ,তিত
কর্তুকাম,বিশেষণ,তুকাম
কর্তৃক,অব্যয়,তৃক
কর্তৃকারক,বিশেষ্য,তৃকারক
কর্তৃপদ,বিশেষ্য,তৃপদ
কর্তৃবাচ্য,বিশেষ্য,তৃবাচ্য
কর্দম,বিশেষ্য,দম
কর্নিক,বিশেষ্য,নিক
কর্পদ,বিশেষ্য,পদ
কর্পদক,বিশেষ্য,পদক
কর্পূর,বিশেষ্য,পূর
কর্মকার,বিশেষ্য,মকার
কর্মধারয়,বিশেষ্য,মধারয়
কর্মপ্রবচনীয়,বিশেষ্য,মপ্রবচনীয়
কর্মাকর্ম,বিশেষ্য,মাকর্ম
কর্মাধ্যক্ষ,বিশেষ্য,মাধ্যক্ষ
কর্মানুবন্ধ,বিশেষ্য,মানুবন্ধ
কর্মানুরূপ,বিশেষণ,মানুরূপ
কর্মান্তর,বিশেষ্য,মান্তর
কর্মার,বিশেষ্য,মার
কর্মার্হ,বিশেষণ,মার্হ
কর্মিষ্ঠ,বিশেষণ,মিষ্ঠ
কর্মী,বিশেষণ,মী
কর্মেন্দ্রিয়,বিশেষ্য,মেন্দ্রিয়
কলতানি,বিশেষ্য,ানি
কলবিঙ্ক,বিশেষ্য,িঙ্ক
কলমচি,বিশেষ্য,চি
কলাপী,বিশেষ্য,পী
কলালাপ,বিশেষ্য,লাপ
কলিঙ্গ,বিশেষ্য,ঙ্গ
কলিচুন,বিশেষ্য,চুন
কলেবর,বিশেষ্য,বর
কলেরা,বিশেষ্য,রা
কলোনি,বিশেষ্য,নি
কল্পক,বিশেষণ,পক
কল্পক্ষয়,বিশেষ্য,পক্ষয়
কল্পনা,বিশেষ্য,পনা
কল্পবিজ্ঞান,বিশেষ্য,পবিজ্ঞান
কল্পলোক,বিশেষ্য,পলোক
কল্পান্ত,বিশেষ্য,পান্ত
কল্পারম্ভ,বিশেষ্য,পারম্ভ
কল্পী,বিশেষণ,পী
কল্প্য,বিশেষণ,প্য
কল্মাষ,বিশেষ্য,মাষ
কল্লা,বিশেষণ,লা
কষাকষি,বিশেষ্য,কষি
কষাটে,বিশেষণ,টে
কষ্টি,বিশেষ্য,টি
কসিডেন্ট,বিশেষ্য,ন্ট
কহতব্য,বিশেষণ,্য
কাঁইমাই,বিশেষ্য,মাই
কাঁইয়া,বিশেষ্য,য়া
কাঁকই,বিশেষ্য,ই
কাঁকরোল,বিশেষ্য,রোল
কাঁকুড়,বিশেষ্য,ুড়
কাঁচকড়া,বিশেষ্য,কড়া
কাঁচকলা,বিশেষ্য,কলা
কাঁচপোকা,বিশেষ্য,পোকা
কাঁচি,বিশেষ্য,ি
কাঁচুমাচু,বিশেষণ,ুমাচু
কাঁচুয়া,বিশেষ্য,ুয়া
কাঁচ্চা,বিশেষ্য,্চা
কাঁটাচুয়া,বিশেষ্য,াচুয়া
কাঁঠাল,বিশেষ্য,াল
কাঁড়ি,বিশেষ্য,়ি
কাঁদা,ক্রিয়া,া
কাঁদি,বিশেষ্য,ি
কাঁদুনে,বিশেষণ,ুনে
কাঁদোকাঁদো,বিশেষণ,োকাঁদো
কাঁসি,বিশেষ্য,ি
কাকাতুয়া,বিশেষ্য,ুয়া
কাকোদর,বিশেষ্য,র
কাগাবগা,অব্যয়,বগা
কাচ্চাবাচ্চা,বিশেষ্য,চাবাচ্চা
কাজিয়া,বিশেষ্য,য়া
কাটগোঁয়ার,বিশেষণ,ঁয়ার
কাটমোল্লা,বিশেষ্য,ল্লা
কাটিগঙ্গা,বিশেষ্য,্গা
কাটুরকুটুর,বিশেষ্য,টুর
কাঠিন্য,বিশেষ্য,ন্য
কাতুকুতু,বিশেষ্য,ুতু
কাদম্বরী,বিশেষ্য,বরী
কাদম্বিনী,বিশেষ্য,বিনী
কানমাগুর,বিশেষ্য,ুর
কান্যকুব্জ,বিশেষ্য,ব্জ
কাপটিক,বিশেষণ,িক
কাপট্য,বিশেষ্য,্য
কাপালিক,বিশেষ্য,লিক
কাপুরুষ,বিশেষ্য,রুষ
কাবাডি,বিশেষ্য,ি
কাবাবচিনি,বিশেষ্য,চিনি
কামদুঘা,বিশেষ্য,ুঘা
কামাক্ষী,বিশেষ্য,ক্ষী
কামাখ্যা,বিশেষ্য,খ্যা
কামিজ,বিশেষ্য,জ
কামোদ্দীপক,বিশেষণ,দ্দীপক
কামোপহত,বিশেষণ,পহত
কারণ্ডব,বিশেষ্য,ডব
কারবাইড,বিশেষ্য,ইড
কারসাজি,বিশেষ্য,জি
কারিকুরি,বিশেষ্য,ুরি
কালপেঁচা,বিশেষ্য,েঁচা
কালবুদ,বিশেষ্য,ুদ
কালমেঘ,বিশেষ্য,েঘ
কালাকাল,বিশেষ্য,কাল
কালাগুরু,বিশেষ্য,গুরু
কালাজিন,বিশেষ্য,জিন
কালাজ্বর,বিশেষ্য,জ্বর
কালানুক্রমিক,বিশেষণ,নুক্রমিক
কালান্তক,বিশেষণ,ন্তক
কালাপানি,বিশেষ্য,পানি
কালাপাহাড়,বিশেষ্য,পাহাড়
কালাপেড়ে,বিশেষণ,পেড়ে
কালামুখ,বিশেষণ,মুখ
কালাশুদ্ধি,বিশেষ্য,শুদ্ধি
কালাশৌচ,বিশেষ্য,শৌচ
কালিদহ,বিশেষ্য,দহ
কালিদাস,বিশেষ্য,দাস
কালিন্দী,বিশেষ্য,ন্দী
কালিমা,বিশেষ্য,মা
কালোয়াত,বিশেষ্য,য়াত
কাল্পনিক,বিশেষণ,পনিক
কাশ্মীরি,বিশেষণ,মীরি
কাশ্যপ,বিশেষণ,যপ
কাসুন্দি,বিশেষ্য,্দি
কাহাকে,সর্বনাম,ে
কায়েম,বিশেষণ,ম
কিংকর্তব্যবিমূঢ়,বিশেষণ,কর্তব্যবিমূঢ়
কিংবা,অব্যয়,বা
কিংশুক,বিশেষ্য,শুক
কিচ্কিচ্,বিশেষ্য,্কিচ্
কিছু,বিশেষণ,ু
কিঞ্চিত্,অব্যয়,্চিত্
কিটকিটে,বিশেষণ,কিটে
কিণ্ব,বিশেষ্য,্ব
কিতব,বিশেষণ,ব
কিনারা,বিশেষ্য,ারা
কিন্তু,অব্যয়,্তু
কিন্নর,বিশেষ্য,্নর
কিপটে,বিশেষণ,টে
কিবা,অব্যয়,া
কিমাকার,বিশেষণ,াকার
কিমাশ্চর্য,বিশেষ্য,াশ্চর্য
কিম্পুরুষ,বিশেষ্য,্পুরুষ
কিম্ভূত,বিশেষণ,্ভূত
কিরাত,বিশেষ্য,াত
কিরিচ,বিশেষ্য,িচ
কিরীট,বিশেষ্য,ীট
কিলকিঞ্চিত,বিশেষ্য,কিঞ্চিত
কিলো,বিশেষ্য,ো
কিশমিশ,বিশেষ্য,মিশ
কিশোর,বিশেষণ,োর
কিস্সা,বিশেষ্য,্সা
কিয়ত্,অব্যয়,ত্
কিয়ে,অব্যয়,ে
কীচক,বিশেষ্য,ক
কুঁইকুঁই,অব্যয়,ইকুঁই
কুঁচ,বিশেষ্য,চ
কুঁচকা,ক্রিয়া,চকা
কুঁচি,বিশেষ্য,চি
কুঁজ,বিশেষ্য,জ
কুঁড়,বিশেষ্য,ড়
কুঁড়ি,বিশেষ্য,ড়ি
কুঁদ,বিশেষ্য,দ
কুঁদরু,বিশেষ্য,দরু
কুঁদা,ক্রিয়া,দা
কুঁদুলি,বিশেষণ,দুলি
কুংফু,বিশেষ্য,ফু
কুইণ্টাল,বিশেষ্য,ণ্টাল
কুকরিট,বিশেষ্য,রিট
কুকশিমা,বিশেষ্য,শিমা
কুকার্য,বিশেষ্য,ার্য
কুকুর,বিশেষ্য,ুর
কুক্কুট,বিশেষ্য,্কুট
কুক্কুভ,বিশেষ্য,্কুভ
কুক্কুর,বিশেষণ,্কুর
কুক্রিয়,বিশেষণ,্রিয়
কুক্ষণ,বিশেষ্য,্ষণ
কুক্ষি,বিশেষ্য,্ষি
কুখাদ্য,বিশেষ্য,াদ্য
কুখ্যাত,বিশেষণ,্যাত
কুগঠন,বিশেষণ,ঠন
কুঙ্কুম,বিশেষ্য,্কুম
কুঙ্গি,বিশেষ্য,্গি
কুচকুম্ভ,বিশেষ্য,কুম্ভ
কুচক্র,বিশেষ্য,ক্র
কুচনি,বিশেষ্য,নি
কুচন্দন,বিশেষ্য,ন্দন
কুচফল,বিশেষ্য,ফল
কুচরিত্র,বিশেষ্য,রিত্র
কুচর্যা,বিশেষ্য,র্যা
কুচাগ্র,বিশেষ্য,াগ্র
কুচাল,বিশেষ্য,াল
কুচিকিত্সক,বিশেষ্য,িকিত্সক
কুচিন্তা,বিশেষ্য,িন্তা
কুচুত্,অব্যয়,ুত্
কুচুরমুচুর,বিশেষ্য,ুরমুচুর
কুঞ্চিকা,বিশেষ্য,্চিকা
কুঞ্জ,বিশেষ্য,্জ
কুঞ্জল,বিশেষ্য,্জল
কুটনি,বিশেষ্য,নি
কুটিপাটি,বিশেষণ,িপাটি
কুটিল,বিশেষণ,িল
কুটুর,অব্যয়,ুর
কুটোকাটা,বিশেষ্য,োকাটা
কুট্টন,বিশেষ্য,্টন
কুট্টিত,বিশেষণ,্টিত
কুট্টিম,বিশেষ্য,্টিম
কুঠরি,বিশেষ্য,রি
কুঠি,বিশেষ্য,ি
কুঠুরি,বিশেষ্য,ুরি
কুড়কুড়,অব্যয়,়কুড়
কুড়চি,বিশেষ্য,়চি
কুড়বা,বিশেষ্য,়বা
কুড়ুরমুড়ুর,অব্যয়,়ুরমুড়ুর
কুণ্ডল,বিশেষ্য,্ডল
কুতর্ক,বিশেষ্য,র্ক
কুতূহল,বিশেষ্য,ূহল
কুত্রাপি,অব্যয়,্রাপি
কুত্সা,বিশেষ্য,্সা
কুত্সিত,বিশেষণ,্সিত
কুদরত,বিশেষ্য,রত
কুদর্শন,বিশেষণ,র্শন
কুদিন,বিশেষ্য,িন
কুদৃষ্টি,বিশেষ্য,ৃষ্টি
কুদেতা,বিশেষ্য,েতা
কুনকি,বিশেষ্য,কি
কুনকে,বিশেষ্য,কে
কুনখ,বিশেষ্য,খ
কুনজর,বিশেষ্য,জর
কুনিকা,বিশেষ্য,িকা
কুনীতি,বিশেষ্য,ীতি
কুন্তল,বিশেষ্য,্তল
কুন্দুলি,বিশেষণ,্দুলি
কুন্হন,বিশেষ্য,্হন
কুপথ্য,বিশেষ্য,থ্য
কুপরামর্শ,বিশেষ্য,রামর্শ
কুপাত্র,বিশেষ্য,াত্র
কুপি,বিশেষ্য,ি
কুপুত্র,বিশেষ্য,ুত্র
কুপুরুষ,বিশেষ্য,ুরুষ
কুপ্য,বিশেষ্য,্য
কুপ্রকৃতি,বিশেষ্য,্রকৃতি
কুফল,বিশেষ্য,ল
কুবক্তা,বিশেষ্য,ক্তা
কুবচন,বিশেষ্য,চন
কুবলয়,বিশেষ্য,লয়
কুবাক্য,বিশেষ্য,াক্য
কুবাসনা,বিশেষ্য,াসনা
কুবিচার,বিশেষ্য,িচার
কুবিন্দু,বিশেষ্য,িন্দু
কুবুদ্ধি,বিশেষ্য,ুদ্ধি
কুবের,বিশেষ্য,ের
কুবৈদ্য,বিশেষ্য,ৈদ্য
কুব্জ,বিশেষণ,্জ
কুভোজন,বিশেষ্য,োজন
কুমকুম,বিশেষ্য,কুম
কুমড়োপটাশ,বিশেষ্য,ড়োপটাশ
কুমতলব,বিশেষ্য,তলব
কুমতি,বিশেষ্য,তি
কুমন্ত্রণা,বিশেষ্য,ন্ত্রণা
কুমাতা,বিশেষ্য,াতা
কুমারিকা,বিশেষ্য,ারিকা
কুমারী,বিশেষ্য,ারী
কুমির,বিশেষ্য,ির
কুমেরু,বিশেষ্য,েরু
কুম্ভ,বিশেষ্য,্ভ
কুম্ভক,বিশেষ্য,্ভক
কুম্ভকর্ণ,বিশেষ্য,্ভকর্ণ
কুম্ভীপাক,বিশেষ্য,্ভীপাক
কুম্ভীর,বিশেষ্য,্ভীর
কুযাত্রা,বিশেষ্য,াত্রা
কুযুক্তি,বিশেষ্য,ুক্তি
কুরকুরে,বিশেষণ,কুরে
কুরব,বিশেষ্য,ব
কুরর,বিশেষ্য,র
কুরসিনামা,বিশেষ্য,সিনামা
কুরিয়ার,বিশেষ্য,িয়ার
কুরীতি,বিশেষ্য,ীতি
কুরুবিন্দ,বিশেষ্য,ুবিন্দ
কুর্দন,বিশেষ্য,্দন
কুর্পর,বিশেষ্য,্পর
কুর্মি,বিশেষ্য,্মি
কুলকুণ্ডলিনী,বিশেষ্য,কুণ্ডলিনী
কুলকুল,অব্যয়,কুল
কুলগ্ন,বিশেষ্য,গ্ন
কুলচুর,বিশেষ্য,চুর
কুলত্থ,বিশেষ্য,ত্থ
কুলাঙ্গার,বিশেষ্য,াঙ্গার
কুলাচার্য,বিশেষ্য,াচার্য
কুলাভিমান,বিশেষ্য,াভিমান
কুলাল,বিশেষ্য,াল
কুলায়,বিশেষ্য,ায়
কুলিশ,বিশেষ্য,িশ
কুলুপ,বিশেষ্য,ুপ
কুলোদ্ভব,বিশেষণ,োদ্ভব
কুশণ্ডিকা,বিশেষ্য,ণ্ডিকা
কুশপা,বিশেষণ,পা
কুশাক্ষ,বিশেষ্য,াক্ষ
কুশাগ্র,বিশেষ্য,াগ্র
কুশাঙ্কুর,বিশেষ্য,াঙ্কুর
কুশাসক,বিশেষ্য,াসক
কুশীল,বিশেষণ,ীল
কুশীলব,বিশেষ্য,ীলব
কুশেশয়,বিশেষ্য,েশয়
কুশ্রী,বিশেষণ,্রী
কুষ্ঠ,বিশেষ্য,্ঠ
কুষ্ঠী,বিশেষণ,্ঠী
কুষ্মাণ্ড,বিশেষ্য,্মাণ্ড
কুসংসর্গ,বিশেষ্য,ংসর্গ
কুসংস্কার,বিশেষ্য,ংস্কার
কুসন্তান,বিশেষ্য,ন্তান
কুসিম্বী,বিশেষ্য,িম্বী
কুসীদ,বিশেষ্য,ীদ
কুসুম,বিশেষ্য,ুম
কুসুম্ভ,বিশেষ্য,ুম্ভ
কুস্তুভ,বিশেষ্য,্তুভ
কুস্বভাব,বিশেষ্য,্বভাব
কুহক,বিশেষ্য,ক
কুহর,বিশেষ্য,র
কুহরা,ক্রিয়া,রা
কুহা,বিশেষ্য,া
কূটপ্রশ্ন,বিশেষ্য,্রশ্ন
কূটভাষী,বিশেষণ,াষী
কূটযন্ত্র,বিশেষ্য,ন্ত্র
কূটযুদ্ধ,বিশেষ্য,ুদ্ধ
কূটসাক্ষী,বিশেষ্য,াক্ষী
কূটাগার,বিশেষ্য,গার
কূটাভাস,বিশেষ্য,ভাস
কূপোদক,বিশেষ্য,দক
কৃতঘ্ন,বিশেষণ,্ন
কৃতাঞ্জলি,বিশেষণ,ঞ্জলি
কৃতাভিষেক,বিশেষণ,ভিষেক
কৃতাস্ত্র,বিশেষণ,স্ত্র
কৃতাহ্নিক,বিশেষণ,হ্নিক
কৃতোপ.কার,বিশেষণ,প.কার
কৃত্কৌশল,বিশেষ্য,কৌশল
কৃত্তি.বাস,বিশেষ্য,তি.বাস
কৃত্তিক,বিশেষ্য,তিক
কৃত্তিকা,বিশেষ্য,তিকা
কৃত্স্ন,বিশেষণ,স্ন
কেঁউকেঁউ,অব্যয়,উকেঁউ
কেঁচো,বিশেষ্য,চো
কেঁড়ে,বিশেষ্য,ড়ে
কেঁড়েলি,বিশেষ্য,ড়েলি
কেঁদো,বিশেষণ,দো
কেঁয়ে,বিশেষ্য,য়ে
কেওড়া,বিশেষ্য,ড়া
কেচ্ছা,বিশেষ্য,্ছা
কেতু,বিশেষ্য,ু
কেমব্রিক,বিশেষ্য,ব্রিক
কেরাঞ্চি,বিশেষ্য,াঞ্চি
কেরোসিন,বিশেষ্য,োসিন
কেলেঙ্কার,বিশেষণ,েঙ্কার
কেল্লা,বিশেষ্য,্লা
কেশব,বিশেষ্য,ব
কেশর,বিশেষ্য,র
কেশাকর্ষণ,বিশেষ্য,াকর্ষণ
কেশাকেশি,বিশেষ্য,াকেশি
কেশুর,বিশেষ্য,ুর
কেয়ামত,বিশেষ্য,ামত
কেয়ার,বিশেষ্য,ার
কেয়াস,বিশেষ্য,াস
কেয়ূর,বিশেষ্য,ূর
কোঁক,বিশেষ্য,ক
কোঁকড়া,বিশেষণ,কড়া
কোঁচড়,বিশেষ্য,চড়
